,date,userName,isEdited,title,review,rating,developerResponse,review_basic_clean,sentiment,negative confidence score,neutral confidence score,positive confidence score,Key Phrases
22,2017-12-06 01:36:02,irishflightie,False,Cannot add Virgin Velocity card,App may make it easy to pay fuel however if you wish to earn points on your FF virgin card you need to pay in store.  BP makes a big deal about this partnership so can’t see why you can’t add the card into the app.,1,"{'id': 1951529, 'body': 'For launch, we\'re focusing on giving back time that our customers seek through simple and quick fuel payment from the comfort of their cars. \n\nClaiming points and rewards aren\'t yet available, but this is just the beginning for BPme; there are more exciting features, offers and rewards planned for 2018. Watch this space!  ""', 'modified': '2017-12-07T06:09:27Z'}",App may make easy pay fuel however wish earn point FF virgin card need pay store BP make big deal partnership cant see cant add card app,positive,0.03,0.08,0.89,"FF virgin card, big deal, App, fuel, points, store, BP, partnership"
23,2017-12-07 23:00:43,Grampians area,False,No Velocity Points,Great idea and concept except no option to earn or redeem Velocity points so still have to go into shop to pay,2,"{'id': 1978071, 'body': ""Hi, \nthanks for your feedback.\nClaiming points and rewards aren't yet available, but this is just the beginning for BPme; we have more exciting features, offers and rewards planned for  2018."", 'modified': '2017-12-10T00:54:32Z'}",Great idea concept except option earn redeem Velocity point still go shop pay,positive,0.03,0.0,0.97,"Great idea, Velocity points, concept, option, shop"
24,2017-12-09 04:56:28,zigpip,False,Technical error,"Tried using this app for the second time and continued to receive a technical error message, try again or pay in store. Not very helpful!. Additionally the registration process is painful with multiple security processes and you don’t earn velocity points.",1,"{'id': 1979500, 'body': ""We’ve just launched so we expect an occasional issue may pop up at one of our stores – if you could send details about what store you were at to aucustcare@bp.com we will follow up.\nBPme has been developed to make life a little bit easier, but we still want to make sure your personal details are safe and correct, which is why there are a few steps in the registration process. \nWe hope you'll stick with us, we're just getting started and have many great things to come."", 'modified': '2017-12-10T08:30:42Z'}",Tried using app second time continued receive technical error message try pay store Not helpful Additionally registration process painful multiple security process dont earn velocity point,negative,1.0,0.0,0.0,"technical error message, multiple security processes, second time, registration process, velocity points, app, store"
25,2017-12-09 10:17:37,Hoody47,False,Read the terms and conditions,If you lose your phone or your account is compromised and someone uses this app then you are liable for charges until the following business day.  Lose it on Saturday long weekend you’re liable until Tuesday.,1,"{'id': 1999418, 'body': 'Hello, \nthanks for flagging your concern to us. We take privacy and security seriously at BP and have a number of safety measures in place to ensure customers are protected.\n\nLike most payment apps, a four-digit pin number or fingerprint ID are required each time you want to use BPme.\nWe suggest keeping your passwords and PIN numbers confidential and secure.', 'modified': '2017-12-12T05:20:11Z'}",If lose phone account compromised someone us app liable charge following business day Lose Saturday long weekend youre liable Tuesday,negative,0.99,0.01,0.0,"Saturday long weekend, business day, phone, account, someone, app, charges, Tuesday"
26,2017-12-10 06:43:34,a$hh,False,No Velocity Functionality,"Great app, but given how hard BP pushes Velocity, it surprises me there's no Velocity functionality in this version. Hope to see it in the future.",3,"{'id': 1999452, 'body': 'Hi there,\nthanks for your feedback, we are happy to hear that!\nFor the initial launch, we introduced the fuel payment function to help customers save time. We are planning a whole range of exciting new offers to make our customers lives easier, watch this space.', 'modified': '2017-12-12T05:25:13Z'}",Great app given hard BP push Velocity surprise there Velocity functionality version Hope see future,positive,0.16,0.0,0.84,"Great app, Velocity functionality, BP, version, Hope, future"
27,2017-12-10 07:54:24,nicjolley,False,Brilliant,Fantastic idea and app and great job BP,5,"{'id': 2242705, 'body': 'Hi Nic, We thank you for your feedback and are pleased that you are happy with our offering.', 'modified': '2018-01-08T23:31:46Z'}",Fantastic idea app great job BP,positive,0.0,0.0,1.0,"great job BP, Fantastic idea, app"
28,2017-12-10 09:33:52,Amberino67,False,Great app,But what about swiping the velocity card? Where does that fit in? Or we have to go inside and pay and swipe velocity?,4,"{'id': 1999502, 'body': 'Hi,\nthanks for the feedback, we are thrilled to hear that!\nFor the initial BPme launch, we have introduced the fuel payment function to help customers save time. We are planning a whole range of exciting new offers to make our customers lives easier, watch this space. You can continue to use your Velocity Frequent Flyer card in-store to earn and redeem points on fuel and retail purchases at BP.', 'modified': '2017-12-12T05:28:14Z'}",But swiping velocity card Where fit Or go inside pay swipe velocity,neutral,0.01,0.99,0.0,"velocity card, swipe velocity"
29,2017-12-10 10:11:06,one eyebrow raised,False,Why not link it to Velocity Rewards?,After spending the last 2 years investing in the Velocity Rewards program it seems pointless to start using BPme if I can’t use BP Rewards,1,"{'id': 1999407, 'body': 'Hi,\nFor the initial BPme launch, we have introduced the fuel payment function to help customers save time. We are planning a whole range of exciting new offers to make our customers lives easier, watch this space. You can continue to use your Velocity Frequent Flyer card in-store to earn and redeem points on fuel and retail purchases at BP.', 'modified': '2017-12-12T05:17:58Z'}",After spending last year investing Velocity Rewards program seems pointless start using BPme I cant use BP Rewards,negative,1.0,0.0,0.0,"Velocity Rewards program, BP Rewards, last 2 years, BPme"
30,2017-12-10 12:11:00,VNIYER,False,No option to include Velocity Frequent Flyer number to earn points,I have looked everywhere and don’t seem to find an option to enter Velocity frequent flyer number as you can swipe at the counter to earn points. Well the only other way you could possibly earn points is by using the credit card that is associated.,3,"{'id': 1999361, 'body': 'Hi,\nFor the initial launch of the app, we introduced the fuel payment function to help customers save time. We are planning a whole range of exciting new offers to make our customers lives easier, watch this space. You can continue to use your Velocity Frequent Flyer card in-store to earn and redeem points on fuel and retail purchases at BP.', 'modified': '2017-12-12T05:05:20Z'}",I looked everywhere dont seem find option enter Velocity frequent flyer number swipe counter earn point Well way could possibly earn point using credit card associated,neutral,0.05,0.94,0.01,"Velocity frequent flyer number, other way, credit card, option, counter, points"
31,2017-12-10 13:29:38,Beachy1221,False,Great concept. Slow app,"Love the concept. Worked great. Just the app is too slow to load. It takes a minute or two sitting in the car for the app to load, select location and then the pump. Each screen taking 10-15 secs to load. I had the car behind me beep because I hadn't got out the car yet. Please make it faster and this would be great. IPhone 7, touch Id enabled",3,"{'id': 2058478, 'body': ""Hi Beachy1221,\nWe're sorry to hear you had this experience and thank you for letting us know. We are looking into this further to understand what causes this. Our app developers are constantly working behind the scenes to ensure our customers have the best user experience and we will pass this on to the developers"", 'modified': '2017-12-18T01:50:17Z'}",Love concept Worked great Just app slow load It take minute two sitting car app load select location pump Each screen taking sec load I car behind beep I hadnt got car yet Please make faster would great IPhone touch Id enabled,mixed,0.25,0.0,0.75,"10-15 secs, concept, app, minute, car, location, pump, screen, IPhone"
32,2017-12-10 14:36:21,SteveOL74,False,Charged $1 and haven't used it yet!?!,How can my credit card be already charged $1 when I haven't even used the app yet!?!,1,"{'id': 1985359, 'body': 'Hi Steve,\nBPme is free to download, however  as with many mobile payment apps, there is a $1 pre authorisation hold by your financial provider to ensure the payment method is valid. This will be released by your financial provider. The time it takes will vary depending on the card issuer or bank. We suggest you contact your bank directly if you have further questions.', 'modified': '2017-12-11T05:47:46Z'}",How credit card already charged I havent even used app yet,neutral,0.06,0.89,0.05,"credit card, app"
33,2017-12-11 07:47:05,Nljhgh,False,Good Start BP,Well done to the developers and BP for being at the forefront. Great for parents or people who don’t like to talk to people. Would love to see fleet card added in the next phase as I have a company car.,4,"{'id': 2242746, 'body': 'Hi there, We thank you for your feedback and are pleased that you are pleased with our offering .Unfortunately the Motorpass/Fleet card isn’t being accepted by BPme at this time, however, will be soon added along with a number of other third party cards in the future.', 'modified': '2018-01-08T23:45:42Z'}",Well done developer BP forefront Great parent people dont like talk people Would love see fleet card added next phase I company car,positive,0.0,0.01,0.99,"fleet card, next phase, company car, developers, BP, forefront, parents, people"
34,2017-12-11 11:32:02,8500959,False,Velocity points please.,This app is useless without credits for Velocity points.,1,"{'id': 1999359, 'body': 'Hi there,\nFor the initial BPme launch, we have introduced the fuel payment function to help customers save time. We are planning a whole range of exciting new offers to make our customers lives easier, watch this space. You can continue to use your Velocity Frequent Flyer card in-store to earn and redeem points on fuel and retail purchases at BP.', 'modified': '2017-12-12T05:04:00Z'}",This app useless without credit Velocity point,negative,1.0,0.0,0.0,"Velocity points, app, credits"
35,2017-12-11 12:09:40,C_Review,False,Kinks in the app,"Just downloaded and major kinks in the app. TouchID and pin not working, can’t change email address. Logging in takes too long.",5,"{'id': 1999530, 'body': 'Hi,\nWe really want it to work for you! If you drop a note to aucustcare@bp.com with details about what’s not working, we’ll help get it sorted.', 'modified': '2017-12-12T05:30:50Z'}",Just downloaded major kink app TouchID pin working cant change email address Logging take long,negative,0.77,0.21,0.02,"major kinks, email address, app, TouchID"
36,2017-12-11 13:43:54,Che Che Deluxe,False,Failed on first use,"App stopped responding after pumping fuel. Followed the phone number link in the app for help - the person I reached was clueless, I had to explain what BPme is to them. The app eventually stated that it’s taking longer than usual to process payment and to leave the station, but the attendant was unconvinced and tried to get me to pay twice. Don’t waste your time like I did.",1,"{'id': 2022636, 'body': ""Hi there, we're extremely sorry for the experience you received. Could we please ask you to email aucustcare@bp.com with your contact details and site you attempted to use the app as we'd like to look into this further for you."", 'modified': '2017-12-14T00:11:08Z'}",App stopped responding pumping fuel Followed phone number link app help person I reached clueless I explain BPme The app eventually stated taking longer usual process payment leave station attendant unconvinced tried get pay twice Dont waste time like I,negative,0.86,0.06,0.08,"phone number link, App, fuel, help, person, BPme, payment, station, attendant, time"
37,2017-12-11 23:59:30,thelastname,False,No velocity number,No option to add velocity card number to earn points. Pretty poor.,1,"{'id': 2024108, 'body': 'Hi there, \n\nFor the initial BPme launch, we have introduced the fuel payment function to help customers save time. You can continue to use your Velocity Frequent Flyer card in-store to earn and redeem points on fuel and retail purchases at BP. Watch this space for new BPme features in the future.', 'modified': '2017-12-14T03:52:46Z'}",No option add velocity card number earn point Pretty poor,negative,0.78,0.22,0.0,"velocity card number, option, points"
38,2017-12-12 02:15:54,lorettadee,False,lorettadee,"BEWARE - I just filled my car at a BP and when I tried to use App I was told it's not available at this station yet. As I had no money with me, I went inside and attempted to pay by credit card (I know my details off by heart) but they wouldn't accept it. I had to leave my phone, drive home to get money and drive back. Don't know why they're advertising something that isn't even working yet.",1,"{'id': 2078707, 'body': 'Hi Loretta, thanks for your review and we are sorry to hear that you had to go back home to get money to pay for your fuel. The app is available at over 500 (and rising) BP stations across the country, and will continue to grow during 2018. If you have not already, please make sure to check the Station Finder in your app to find your nearest BPme enabled station.', 'modified': '2017-12-19T12:05:49Z'}",BEWARE I filled car BP I tried use App I told available station yet As I money I went inside attempted pay credit card I know detail heart wouldnt accept I leave phone drive home get money drive back Dont know theyre advertising something isnt even working yet,negative,0.87,0.13,0.0,"credit card, BEWARE, BP, App, station, money, details, heart, phone, something"
39,2017-12-12 08:58:13,Mifstar80,False,Looks good but can’t use without velocity integration,I would love to use this app however I use BP due to their partnership with velocity rewards. Looks like I will still have to go Instore for the time being.,4,"{'id': 2022624, 'body': ""Hello, you're absolutely right. Your Velocity card cannot be used when paying via BPme. You can however continue to use your Velocity Frequent Flyer card in-store to earn and redeem points on fuel and retail purchases at BP. We hope you can enjoy the convenience, ease and time that BPme provides with paying for fuel from the comfort of your car."", 'modified': '2017-12-14T00:07:35Z'}",I would love use app however I use BP due partnership velocity reward Looks like I still go Instore time,positive,0.0,0.0,1.0,"velocity rewards, app, BP, partnership, Instore, time"
40,2017-12-12 11:49:50,eugeenlerey,False,Velocity Frequent Flyer?,This is such a great app but my only issue is that it would’ve been better if the velocity card is linked to the app because I still had to line up to get the points for my velocity card.,4,"{'id': 2242714, 'body': 'Hi Eugeen, We thank you for your feedback and are pleased that you are happy with our offering. New features and functionality for BPme will be made available in the future.', 'modified': '2018-01-08T23:34:52Z'}",This great app issue wouldve better velocity card linked app I still line get point velocity card,positive,0.11,0.0,0.89,"velocity card, great app, issue, points"
41,2017-12-12 12:37:14,digitalboss,False,Withdraw Review,I would like to withdraw the review sent earlier today. Issue has been resolved,1,"{'id': 2022618, 'body': 'Hello! Great to hear we were able to resolve your issue so quickly, thank you for the follow up review.', 'modified': '2017-12-14T00:05:41Z'}",I would like withdraw review sent earlier today Issue resolved,mixed,0.47,0.26,0.27,"review, Issue"
42,2017-12-12 12:44:11,Womblton,False,It’s a start,Good start. When velocity is added it might be usable. The station finder showing prices is a bit of a no brainer feature as well,3,"{'id': 2058449, 'body': 'Hi Wombleton,\nFor the initial BPme launch, we have introduced the fuel payment function to help customers save time and we intend to introduce new features over time. You can continue to use your Velocity Frequent Flyer card in-store to earn and redeem points on fuel and retail purchases at BP. Watch this space for new BPme features in the future. Unfortunately, at this stage we have no plans to integrate fuel pricing into the app.', 'modified': '2017-12-18T01:48:29Z'}",Good start When velocity added might usable The station finder showing price bit brainer feature well,positive,0.0,0.0,1.0,"Good start, station finder, brainer feature, velocity, prices, bit"
43,2017-12-12 15:44:20,jacngeorge,False,So easy to use!,"Fast, simple and convenient",5,"{'id': 2078583, 'body': ""Hi Jacngeoff, thanks for taking the time to review this app. We're so happy to hear that! BPme has been developed to make everyday life for Aussies a little bit easier, so we're glad you can enjoy the benefits."", 'modified': '2017-12-19T11:53:06Z'}",Fast simple convenient,positive,0.0,0.01,0.99,simple
44,2017-12-13 01:58:53,Tze96,False,Not bad for a first effort,Should also allow users to include their Velocity membership number to earn points with each transaction.,3,"{'id': 2058456, 'body': 'Hi there,\nFor the initial BPme launch, we have introduced the fuel payment function to help customers save time and we intend to introduce new features over time. You can continue to use your Velocity Frequent Flyer card in-store to earn and redeem points on fuel and retail purchases at BP. Watch this space for new BPme features in the future', 'modified': '2017-12-18T01:48:50Z'}",Should also allow user include Velocity membership number earn point transaction,neutral,0.03,0.95,0.02,"Velocity membership number, users, points, transaction"
45,2017-12-13 09:50:00,Mcguyver63,False,No velocity or option for motorcycles,No option to claim velocity rewards which is the only reason I buy BP anyway. Also apparently not allowed to use on a motorcycle. Would be nice to not have to remove helmet and pay at the pump. Fail !!,1,"{'id': 2022609, 'body': ""Hello, you're right about Velocity and motorcycles with BPme. \n\nWhile you cannot use your Velocity card via our BPme app, you can continue to use your Velocity Frequent Flyer card in-store.\n\nWith respect to motorcycles - rules about mobile phone usage outside your vehicle have not changed and remain unacceptable. You can, however, safely use your phone (and BPme) from the comfort of inside your stationary vehicle. Given the nature of a motorcycle, they do not comply with this rule. Please do contact aucustcare@bp.com if you have any further questions on this."", 'modified': '2017-12-14T00:03:54Z'}",No option claim velocity reward reason I buy BP anyway Also apparently allowed use motorcycle Would nice remove helmet pay pump Fail,mixed,0.59,0.04,0.37,"velocity rewards, option, reason, BP, motorcycle, helmet, pump, Fail"
46,2017-12-13 23:20:28,Jakm74,False,Money out,I set it up on my iPhone sitting on my bed instantly a withdrawal from Docklands Melbourne. Better of walking in shop instead of them just taking money when not even there receiving anything.,1,"{'id': 2034354, 'body': 'Hi There, \n\nBPme is free to download, however  as with many mobile payment apps, there is a $1 pre authorisation hold by your financial provider to ensure the method is valid. This will be released by your financial provider. The time it takes will vary depending on the card issuer or bank. We suggest you contact your bank directly if you have further questions.', 'modified': '2017-12-14T23:16:29Z'}",I set iPhone sitting bed instantly withdrawal Docklands Melbourne Better walking shop instead taking money even receiving anything,positive,0.05,0.07,0.88,"Docklands Melbourne, iPhone, bed, withdrawal, shop, money"
47,2017-12-14 01:17:09,"Lost in Space, or Melbourne",False,Incomplete and shows how little BP value loyalty,"What’s the point of launching this without Velocity integration?  The people that benefit from this app are the frequent BP users, pretty much all of whom would be swiping their Velocity cards.  If it’s not ready don’t launch it, it gives your valued frequent customers the appearance that they’re not valued after all...",1,"{'id': 2057269, 'body': 'Hi there, \n\nFor our BPme launch, we had always planned on introducing only the fuel payment function to help customers save time. We intend to introduce new features to the app in the future. Customers can continue to use their Velocity Frequent Flyer card in-store to earn and redeem points on fuel and retail purchases at BP until further notice.', 'modified': '2017-12-17T23:33:42Z'}",Whats point launching without Velocity integration The people benefit app frequent BP user pretty much would swiping Velocity card If ready dont launch give valued frequent customer appearance theyre valued,mixed,0.52,0.18,0.3,"frequent BP users, frequent customers, Velocity integration, Velocity cards, point, people, app"
48,2017-12-14 12:53:45,Benno2727,False,Worthless,With no link to Velocity this App serves no purpose. I would suggest releasing and App that is only half developed is pretty stupid!,1,"{'id': 2034344, 'body': 'Hi Benno2727, \n\nFor our BPme launch, we had always planned on introducing only the fuel payment function to help customers save time. We intend to introduce new features to the app in the future. Customers can continue to use their Velocity Frequent Flyer card in-store to earn and redeem points on fuel and retail purchases at BP. Watch this space for new BPme features in the future.', 'modified': '2017-12-14T23:14:32Z'}",With link Velocity App serf purpose I would suggest releasing App half developed pretty stupid,negative,0.97,0.03,0.0,"link, Velocity, App, purpose"
49,2017-12-14 21:04:12,Sandyelkh1979,False,Not working,"I went through the steps to register, but everything time I login, it goes through the security question and PIN number set up again (which I have already done). Once I fill that info in again, it comes back and tells me my email is already registered. Would love to use this app but it just isn’t working.",1,"{'id': 2057264, 'body': 'Hi, \n\nWe really want it to work for you! If you drop a note to aucustcare@bp.com with details about what’s not working, we’ll help get it sorted.\n\nThanks', 'modified': '2017-12-17T23:32:35Z'}",I went step register everything time I login go security question PIN number set I already done Once I fill info come back tell email already registered Would love use app isnt working,mixed,0.48,0.03,0.49,"security question, PIN number, steps, everything, info, email, app"
