,developerResponse,review,isEdited,userName,date,rating,title
10,"{'id': 11264928, 'body': 'Hi Peanut0726 - BP launched a new rewards program on 10/1/2019, which requires the use of the new BPme Mobile App. The App on your phone should have automatically updated, but if not, you will need to download the BPme Mobile App from the Apple or Google Play store. Once downloaded, you will need to re-register in the App for the BPme Rewards Program.  You will then get 5 cents off per gallon on every fuel purchase through next month!', 'modified': '2019-10-15T14:58:45Z'}","The app used to work, now I can’t even get it to load. Fairly disappointed that this has been going on since the beginning of the summer and still nothing has been done to fix it.",False,Peanut0726,2018-09-17 01:00:51,1,App doesn’t work at all
11,"{'id': 11264922, 'body': 'Hi ccrissg - BP launched a new rewards program on 10/1/2019, which requires the use of the new BPme Mobile App. The App on your phone should have automatically updated, but if not, you will need to download the BPme Mobile App from the Apple or Google Play store. Once downloaded, you will need to re-register in the App for the BPme Rewards Program.  You will then get 5 cents off per gallon on every fuel purchase through next month!\n', 'modified': '2019-10-15T14:58:30Z'}","Can’t seem to log in, can’t get an email to reset password, finally got my BP card added to wallet, but then signed out and can’t sign in again. App needs some work. Called tech support and they couldn’t help, said they’d get back to me.Too bad, this showed so much potential to be a great app.",False,ccrissg,2018-09-28 03:31:56,1,Still has some bugs
12,"{'id': 5376502, 'body': 'Hmm yea, that doesn’t sound right. Thanks for letting us know, the team will have a look.  If you wish to speak with someone, give us a call 1-877-852-3025 or contact us at https://www.mybpstation.com/contact-us', 'modified': '2018-10-05T18:07:09Z'}","Ever since I got the iPhone XS Max, this app will not initialize. It keeps saying there is a “connectivity error.”  Please fix!  I like the app and driver rewards!  I’m missing out!",False,DrumDanJFK,2018-10-04 16:17:10,1,Continually fails to initialize.
13,"{'id': 11264914, 'body': 'Hi jay@xp - Thank you for providing feedback on BPme Rewards. We very much value your business and hope to keep you as a loyal consumer. We are sorry that you are unhappy with the new BPme Rewards program. We take your feedback seriously and will continue to look for ways to improve the experience for our best consumers.\n', 'modified': '2019-10-15T14:58:18Z'}","BP app is not convenience, even it not recognized user name.",False,jay@xp,2018-10-05 12:44:22,1,Worst service at app at all
14,"{'id': 11535176, 'body': 'Hi J the Izzo -  Thank you for providing feedback on BPme Rewards. We very much value your business and are glad you are happy with the app! Thank you BP', 'modified': '2019-10-29T14:44:35Z'}","I love this app, and it’s the reason I always fill up at BP. It makes the fill up process faster and more convenient every time.",False,J the Izzo,2018-10-10 04:07:59,5,Time saver
15,"{'id': 11264905, 'body': 'Hi NI421 - BP launched a new rewards program on 10/1/2019, which requires the use of the new BPme Mobile App.  The App on your phone should have automatically updated, but if not, you will need to download the BPme Mobile App from the Apple or Google Play store. Once downloaded, you will need to re-register in the App for the BPme Rewards Program.  You will then get 5 cents off per gallon on every fuel purchase through next month!\n', 'modified': '2019-10-15T14:58:02Z'}",I have exact same problem as others who have written. Orig worked fine now cannot find to initialize no good try later  this going on for weeks,False,Nl421,2018-10-17 15:21:31,1,Not working
16,"{'id': 11264899, 'body': 'Hi errornicknamelaso - BP launched a new rewards program on 10/1/2019, which requires the use of the new BPme Mobile App. The App on your phone should have automatically updated, but if not, you will need to download the BPme Mobile App from the Apple or Google Play store. Once downloaded, you will need to re-register in the App for the BPme Rewards Program.  You will then get 5 cents off per gallon on every fuel purchase through next month!\n', 'modified': '2019-10-15T14:57:44Z'}","I have downloaded this twice and it doesn’t allow me to do anything once I open it, home page where it says BP me is nice though 🤣 only reason to give it one star considering I wasn’t able to do anything else.",False,errornicknamealso,2018-10-18 18:00:12,1,Waste of download
17,"{'id': 5830242, 'body': ""Hi, we'd like to better understand what happened here.  If you wish to speak with someone, give us a call 1-877-852-3025 or contact us at https://www.mybpstation.com/contact-us"", 'modified': '2018-11-06T15:38:32Z'}",As soon as I installed the app and attempted to put in my account and bank card # into the app- a fraudulent charge of 100$ came off of my card straight to BP.... so I got scammed. Don’t let it happen to you,False,48203762905,2018-11-02 15:39:26,1,Do not get!
18,"{'id': 5912906, 'body': 'Hi WB2,  Thanks for the review and thanks for sharing that helpful advice to find BPme enabled sites!  We continue to add more sites every day, so not seeing a site near you?...check back soon!  --Thanks', 'modified': '2018-11-12T20:01:16Z'}","Not sure how it’s not working for other people. But, the app works just fine with me. Also, when you’re using the map to find a gas station to pay for gas through the app. You have to look for the gas station with a rectangle symbol sitting on the location and the words “BP Me” to actually use the app to pay for gas. App seems to work fine so if you follow those instructions while using the app. You will be ok. Everybody else is trying to give negative reviews and probably didn’t pay attention to detail.",False,The WB2,2018-11-09 05:33:33,5,Great app to me!
19,"{'id': 6150829, 'body': 'Hi House777,  I know...right!  Who wants to stand out in the cold any longer than they need to!  Thanks for using BPme and thanks for the review!', 'modified': '2018-11-28T22:42:28Z'}","It’s November in Chicago and I can reduce the time outside when I fill up?? Yes, please!",False,House777,2018-11-20 22:14:10,5,Really helpful
20,"{'id': 6150788, 'body': 'Appreciate the feedback, we will look into this as a possible future feature.  We hope that you do at least give the payment feature a try! Thanks for trying BPme!', 'modified': '2018-11-28T22:39:17Z'}",Haven’t even used the app yet... just downloaded it. The stations don’t even show the prices of the gas. Totally worthless. I’ll stick with my speedway app thank you... already over this..,False,Dluv171,2018-11-22 17:32:06,1,Where are the gas prices???
21,"{'id': 6150776, 'body': 'Hi schmidtys, we appreciate the feedback and will look to add touch id support in a future release.  If you wish to speak with someone about the login issue, give us a call 1-877-852-3025 or contact us at https://www.mybpstation.com/contact-us .', 'modified': '2018-11-28T22:37:33Z'}",Asks to login all the time and does not support Touch ID,False,shmidte,2018-11-27 01:10:30,1,Sign in issues repeatedly
22,"{'id': 6150760, 'body': ""Hi jfum2213, you're pretty super as well.  Thanks for using BPme."", 'modified': '2018-11-28T22:35:15Z'}",Great experience and super easy,False,jfum2213,2018-11-27 14:16:24,5,Super easy
23,"{'id': 11264887, 'body': 'Hi Eric C CoMo - BP launched a new rewards program on 10/1/2019, which requires the use of the new BPme Mobile App. The App on your phone should have automatically updated, but if not, you will need to download the BPme Mobile App from the Apple or Google Play store. Once downloaded, you will need to re-register in the App for the BPme Rewards Program.  You will then get 5 cents off per gallon on every fuel purchase through next month!\n', 'modified': '2019-10-15T14:57:22Z'}","I can log in to your website, but cannot log in to the app with the same account. Tried resetting pw but haven’t received any email for the temp pw after half an hour. Checked spam folder.",False,Eric C CoMo,2018-12-05 20:52:13,1,Cannot login with an existing account
24,"{'id': 11264882, 'body': 'Hi moonman496 - BP launched a new rewards program on 10/1/2019, which requires the use of the new BPme Mobile App. The App on your phone should have automatically updated, but if not, you will need to download the BPme Mobile App from the Apple or Google Play store. Once downloaded, you will need to re-register in the App for the BPme Rewards Program.  You will then get 5 cents off per gallon on every fuel purchase through next month!\n', 'modified': '2019-10-15T14:57:08Z'}",Won’t ever let me log in... “session timed out” “login failed” etc,False,moonman496,2018-12-09 15:22:05,1,Serious bugs...
25,"{'id': 6374075, 'body': 'Thanks for reporting the issue.  We have our development team looking into the initialization failed bug. If you continue to have issues and wish to speak with someone, give us a call 1-877-852-3025 or contact us at https://www.mybpstation.com/contact-us', 'modified': '2018-12-13T19:27:53Z'}","After downloading the app to my iPhone, it doesn’t work saying it can’t retrieve information due to a connectivity issue. My WiFi and cellular connection work just fine.",False,KingCoop1906,2018-12-09 16:08:19,1,Initialization failed
26,"{'id': 6374071, 'body': 'Davidr3906, We have our development team looking into the initialization failed bug. If you continue to have issues and wish to speak with someone, give us a call 1-877-852-3025 or contact us at https://www.mybpstation.com/contact-us', 'modified': '2018-12-13T19:27:24Z'}","Got excited. But app won’t open iPhone Xs Max. iOS 12.1.1. Just says, Initialization Failed.",False,Davidr3906,2018-12-09 16:13:35,1,Not working
27,"{'id': 6374067, 'body': 'Hi D Rog79, We have our development team looking into the initialization failed bug.  If you continue to have issues and wish to speak with someone, give us a call 1-877-852-3025 or contact us at https://www.mybpstation.com/contact-us .', 'modified': '2018-12-13T19:26:55Z'}",Today I received a text regarding this new app and I immediately downloaded it from the App Store. I’ve tried on cellular and on Wi-Fi and the app fails to initialize saying its due to a connection error. Please try again. I hard reset my iPhone I rebooted my Wi-Fi wireless modem router. Still same thing on cellular or Wi-Fi. Needs some looking into by the programmers.,False,D Rog79,2018-12-09 16:23:29,5,Doesn’t work
28,"{'id': 6374052, 'body': ""Hi Meembutter, that's not good.  If you continue to have issues and wish to speak with someone, give us a call 1-877-852-3025 or contact us at https://www.mybpstation.com/contact-us ."", 'modified': '2018-12-13T19:25:11Z'}",All it says is initialization failed when the app opens and won’t allow any functions to come up,False,Meembutter,2018-12-09 16:26:25,1,Does not work on XS MAX
29,"{'id': 11264878, 'body': 'Hi xdcdxdfsd - BP launched a new rewards program on 10/1/2019, which requires the use of the new BPme Mobile App. The App on your phone should have automatically updated, but if not, you will need to download the BPme Mobile App from the Apple or Google Play store. Once downloaded, you will need to re-register in the App for the BPme Rewards Program.  You will then get 5 cents off per gallon on every fuel purchase through next month!\n', 'modified': '2019-10-15T14:56:45Z'}",Done loaded the app but nothing works,False,xdcdxdfsd,2018-12-09 16:43:49,1,App will not open
30,"{'id': 6374039, 'body': 'Hi Jerry, we appreciate the feedback and will look to add touch id support in a future release. If you wish to speak with someone about the login issue, give us a call 1-877-852-3025 or contact us at https://www.mybpstation.com/contact-us .', 'modified': '2018-12-13T19:23:31Z'}","Really, we must login with email and password every time we want to use this App? This should be a top priority.👎🏻",False,Jerry Sciborek,2018-12-11 03:26:56,2,No Touch ID
31,"{'id': 11535307, 'body': 'Hi cfosd - Thank you for your feedback on the BPme app. BPme currently does NOT accept fleet cards, gift cards, PIN only debit and pre-paid debit cards. BP continues to review support for additional payment options and will continue to work towards expanding payment options through BPme. If you would like to receive fuel discounts without joining the program, you can if your phone allows you to receive text messages.  To join our SMS offers program, where we will distribute weekly promotional codes that can be used for a fuel discount text REWARDS to 38831, and reply Y to be signed up for offers when you receive a response. Another option is to use BP Credit Card program that allows allow you to get cents off per gallon rewards that are taken automatically at the pump! Thank you BP', 'modified': '2019-10-29T14:53:14Z'}",This app is completely useless to me until they integrate the ability to pay with my fleet card!,False,cfosd,2018-12-13 18:26:22,3,Needs work
32,"{'id': 11535316, 'body': 'Hi ma&vic - Thank you for providing feedback on BPme Rewards. We very much value your business and hope to keep you as a loyal consumer. Recently, The Driver Rewards program has ended, and we launched a new rewards program on 10/1/2019 called BPme Rewards. If you would like to participate in the new program, you can download the BPme mobile app from the Apple or Google Play store to get started. By signing up for the new program, you will start getting 5 cents off per gallon on every fuel purchase through next month! Thank you BP', 'modified': '2019-10-29T14:54:00Z'}",Cannot add my card & customer support is useless.,False,ma&vic,2018-12-15 01:56:43,4,BPme
33,"{'id': 6486084, 'body': 'Hi MarshaKW, great!  We are happy to hear and we are also glad you have BPme on your phone!  Thanks for using BPme.', 'modified': '2018-12-20T18:26:21Z'}","I added three different cards to mine with ease. I went to the station opened up the app & followed the steps, it was very easy to use & it keeps track of your purchases for up to 90 days plus your rewards are easy to see & use or let them build up. I’m glad I have this on my phone. It made the experience much more easier for me!!!",False,MarshaKW,2018-12-15 15:28:40,5,It was easy to add my debit & credit cards to
34,"{'id': 6486074, 'body': 'nymint, we apologize for the inconvenience.  Please give our support team a call, 1-877-852-3025, so we can look into this further.  Thanks!', 'modified': '2018-12-20T18:24:48Z'}",App doesn’t recognize email address or password. No problem signing in on the computer so it’s the app for sure.,False,nymint,2018-12-17 02:43:27,1,Terrible login
35,"{'id': 6486062, 'body': 'Hi The-Fireman, there is no additional charge for using BPme.  Before enabling the pump, BPme will check with your bank to ensure the card is valid and has sufficient funds.  Thia $1 pre-authorization check will be released by your bank usually within 2-10 days depending upon your financial institution.  If you wish to speak with someone, please call us at 1-877-852-3025', 'modified': '2018-12-20T18:23:32Z'}","This app charges you an extra dollar when you use it at the gas pump. I got charged $1 authorization then later they charged me the cost of the fuel. At the high cost of fuel, why would ANYONE want to pay an extra $1 just to use an app?",False,The-Fireman,2018-12-17 12:06:27,1,Added Authorization Charges
36,"{'id': 6486088, 'body': 'Hi etkeller, our dev team is looking into this.  We appreciate the feedback.', 'modified': '2018-12-20T18:26:58Z'}",I find it stays on opening splash screen for very long time.  I just give up on it.,False,etkeller,2018-12-19 17:16:55,1,Slow
37,"{'id': 11264987, 'body': 'Hi Phrozen_Deuces_Wild - BP launched a new rewards program on 10/1/2019, which requires the use of the new BPme Mobile App. The App on your phone should have automatically updated, but if not, you will need to download the BPme Mobile App from the Apple or Google Play store. Once downloaded, you will need to re-register in the App for the BPme Rewards Program.  You will then get 5 cents off per gallon on every fuel purchase through next month!\r\n', 'modified': '2019-10-15T15:00:47Z'}",It won’t allow me to sign in,False,Phrozen_Deuces_Wild,2018-12-25 03:43:12,1,The app is not working.
38,"{'id': 11264995, 'body': 'Hi aosb001 - BP launched a new rewards program on 10/1/2019, which requires the use of the new BPme Mobile App. The App on your phone should have automatically updated, but if not, you will need to download the BPme Mobile App from the Apple or Google Play store. Once downloaded, you will need to re-register in the App for the BPme Rewards Program.  You will then get 5 cents off per gallon on every fuel purchase through next month!\r\n', 'modified': '2019-10-15T15:01:01Z'}",Used to work on my iPhone 6 but totally not working on iPhone XR!,False,aosb001,2018-12-29 16:14:39,1,Not working
39,"{'id': 11535326, 'body': 'Hi Infiniti Fan - Thank you for providing feedback on BPme Rewards. We very much value your business and hope to keep you as a loyal consumer. Recently, The Driver Rewards program has ended, and we launched a new rewards program on 10/1/2019 called BPme Rewards. If you would like to participate in the new program, you can download the BPme mobile app from the Apple or Google Play store to get started. By signing up for the new program, you will start getting 5 cents off per gallon on every fuel purchase through next month! Thank you BP', 'modified': '2019-10-29T14:54:31Z'}","Load time needs some work. Once the app is up and running, it is good",False,Infiniti Fan,2018-12-30 17:08:35,3,Decent app
40,,"I love the app, everything works. The only reason I take a star off is because I can’t add my gas buddy card to the app. Add that ability and I will give 5 stars.",False,benchmch,2019-01-06 01:58:41,4,Great App
41,"{'id': 7050095, 'body': 'Hi, we’re sorry to hear of your experience and want to help make things right. For questions or issues related to rewards and/or promotions, please contact the customer support team at 1-877-852-3025 or at https://www.mybpstation.com/contact-us and reference this review - we are more than happy to investigate your case!', 'modified': '2019-01-28T17:48:01Z'}","This app made lots of promises in the introductory email however it’s failed to fulfill any of them. 

I was promised a $.25 bonus for trying the app but when I attempted to use it at the station in my neighborhood I learned that it did not work there. In fact the closest station was 35 miles away so I made the trek only to pay an additional $.30 per gallon above my local stations price. At least I was able to experience the potential convenience the app could offer. 

After my purchase I received an email congratulating me on using the app and earning the $.25 bonus. When I didn’t see the bonus reflected in my balance I contacted customer support. After 4 unanswered inquiries I was disappointed to learn that BP decided to cancel the bonus they congratulated me for earning because they deemed my purchase insufficient to remit the bonus. 

Sadly I will no longer purchase my fuel at BP after I use my rewards balance and instead of sharing the benefits of the app’s safety (the BP station I frequent at the entrance to my community was recently found to have card readers that steal your credit card info which made me eager to share the app as an option at my next community meeting) and convenience I’ll be sharing my dissatisfaction with my network. 

It’s unfortunate that the app wasn’t better planned prior to making it available to regular customers.",False,BoatYardDweller,2019-01-06 03:18:13,1,Rather Worthless
42,"{'id': 11265004, 'body': 'Hi Rudebwoy20 - BP launched a new rewards program on 10/1/2019, which requires the use of the new BPme Mobile App. The App on your phone should have automatically updated, but if not, you will need to download the BPme Mobile App from the Apple or Google Play store. Once downloaded, you will need to re-register in the App for the BPme Rewards Program.  You will then get 5 cents off per gallon on every fuel purchase through next month!\r\n', 'modified': '2019-10-15T15:01:30Z'}",This app is working less than half the time. Even going to the same station it’s iffy. Still needs a lot of work.,False,Rudebwoy20,2019-01-08 03:54:15,1,Beta version at best.
43,"{'id': 11265018, 'body': 'Hi EmilyG82 - Thank you for reaching out. It sounds like we might have an error in our systems with the location coordinates of this station. Could you provide me with the address of the location you are trying to visit? I can have the coordinates updated to ensure you are able to fully connect and transact using the BPme app. ', 'modified': '2019-10-15T15:02:24Z'}",I’m sitting NEXT TO a pump at a BP station and I get a “no stations found near the specified location” error message. Worthless.,False,EmilyG82,2019-01-09 21:50:38,1,This station claims to support BPme
44,"{'id': 5430413, 'body': ""Hi davib90, thanks for letting us know. We'd like to get this corrected for you.  Please give us a call at 1-877-852-3025 or contact us at https://www.mybpstation.com/contact-us and reference this review.  Sorry for the inconvenience!"", 'modified': '2018-10-09T22:15:31Z'}",Works good now,True,davib90,2019-01-12 06:57:11,5,Fixed issues
45,,"While traveling this weekend, I stopped at two different BP stations. Both times, it did not work. I understand that not all stations may not be ready for this technology, but both were advertising this app so the assumption was they were all set & ready to go. I want to go back to the old way.",False,Swanee99,2019-01-15 00:30:29,5,Does not work
46,"{'id': 11535738, 'body': 'Hi igero - BP continues to review support for additional payment options and will continue to work towards expanding payment options through BPme. \n\nFor your awareness, after you enter your credit card into the app, your personal and card details are never stored directly on your phone, in the event that your phone is ever lost or stolen, your card information would not be accessible from the app. The app also requires additional security features such as a passcode and security questions to prevent others from accessing your app and using your phone to pay for fuel. \n\nIf you would like to receive fuel discounts without joining the program, you can if your phone allows you to receive text messages. To join our SMS offers program, where we will distribute weekly promotional codes that can be used for a fuel discount text REWARDS to 38831, and reply Y to be signed up for offers when you receive a response. Another option is to use BP Credit Card program that allows allow you to get cents off per gallon rewards that are taken automatically at the pump!\n\nThank you BP', 'modified': '2019-10-29T15:20:42Z'}",Nice app. But it’s a deal breaker without Apple Pay. I am not going to add my card to the app. Mobil/Exxon uses Apple Pay as do others. I trust Apple with my privacy & security not gas companies.,False,igero,2019-01-15 14:35:16,2,WHERE’S APPLE PAY SUPPORT???
47,"{'id': 11265094, 'body': 'Hi Ecorsechick - Thank you for providing feedback on BPme Rewards. We very much value your business and hope to keep you as a loyal consumer. We are sorry that you are unhappy with the new BPme Rewards program. We take your feedback seriously and will continue to look for ways to improve the experience for our best consumers.\n', 'modified': '2019-10-15T15:05:14Z'}","This station does not participate in this program. I found out the had way on the coldest day of the year.
The clerks at that station are RUDE",False,Ecorsechick,2019-01-21 12:18:16,1,"BP on Telegraph Road & Goddard -Taylor, Mi"
48,"{'id': 11535762, 'body': 'Hi Lovelyx4 - Thank you for your feedback on the BPme app. BP launched a new rewards program on 10/1/2019, which requires the use of the new BPme Mobile App. Try the new BPme Mobile App by downloading from the Apple or Google Play store. You will need to re-register in the App for the BPme Rewards Program. You will then get 5 cents off per gallon on every fuel purchase through next month! Thank you BP', 'modified': '2019-10-29T15:22:06Z'}","I like the app, but it takes way too long go load for me. By the time it comes up, I’ve already input all my info at the pump. I’d also like to be able to compare prices to the locations near me and I haven’t figured out if this app does that or not.",False,Lovelyx4,2019-01-21 23:36:10,3,Needs improvement
49,"{'id': 11535689, 'body': 'Hi W.L.C. - BPme currently accepts PayPal and all major credit and debit cards including BP credit cards, Visa, Mastercard, AMEX, and Discover. BPme currently does NOT accept fleet cards, gift cards, PIN only debit and pre-paid debit cards. BP continues to review support for additional payment options and will continue to work towards expanding payment options through BPme. Thank you BP', 'modified': '2019-10-29T15:18:29Z'}","Doesn’t support Apple Pay??
Why not?",False,W.L.C.,2019-01-22 14:54:19,2,Payments
50,,This app changed the way I buy gas and changed my life! I can pay at the pump without worrying about my credit card. I can keep track of all my receipts digitally. And I save A TON of money through the Driver Rewards program. I’m loyal to BP for life now!,False,Sir Drive A Lot 69,2019-01-26 00:26:17,5,Life Made Easy
51,,Needs a field to enter your vehicle odometer mileage.,False,Musbric,2019-01-26 18:43:41,4,Mileage entry
52,,So easy and great way to get gas when it’s freezing out all you have to do is find your pump and you don’t have to get out of the car!!! Also love that gives you great rewards!!,False,Ri Smith,2019-01-28 20:37:20,5,LOVE THIS APP
53,"{'id': 11265294, 'body': 'Hi 2dearbornhts - Thank you for providing feedback on BPme Rewards. We very much value your business and hope to keep you as a loyal consumer. We are sorry that you are unhappy with the new BPme Rewards program. We take your feedback seriously and will continue to look for ways to improve the experience for our best consumers. BP launched a new rewards program on 10/1/2019, which requires the use of the new BPme Mobile App. Try the new BPme Mobile App by downloading from the Apple or Google Play store. You will need to re-register in the App for the BPme Rewards Program. You will then get 5 cents off per gallon on every fuel purchase through next month! \n\n\n', 'modified': '2019-10-15T15:12:10Z'}",I was excited when I saw the advertisement for the BP app on the tv and immediately downloaded the app and added my debit card for payment. Used it for the first time today and I was extremely disappointed to find out I was charged Credit Card prices at the pump....I assumed it would give me the cash prices since I was using their app.....immediately deleted the app from phone and will never use it again as it’s useless!!!!,False,2dearbornhts,2019-01-30 00:04:23,1,Worthless app
54,,"All the people giving bad reviews seem to not have read instructions. The app does not work with all stations, does not work with Apple Pay does not give you cash prices, does not have a butler robot pump the gas for you.",False,48183dude,2019-02-02 01:16:45,5,Works well
55,"{'id': 11265280, 'body': 'Hi HiMyNameIs2 - Thank you for providing feedback. We very much value your business and hope to keep you as a loyal consumer. We are sorry that you are unhappy. We take your feedback seriously and will continue to look for ways to improve the experience for our best consumers. BP launched a new rewards program on 10/1/2019, which requires the use of the new BPme Mobile App. Try the new BPme Mobile App by downloading from the Apple or Google Play store. You will need to re-register in the App for the BPme Rewards Program. You will then get 5 cents off per gallon on every fuel purchase through next month! ', 'modified': '2019-10-15T15:11:55Z'}","I’m able to sign in using my laptop so I know my credentials are correct. When I try to sign in using this app, I get an error message “We are unable to register you at this time. If the problem continues, please contact customer support 1-877-852-3025.” I called the number and they said try it during off hours in the evening when there are less people using the app. Really?? I’ve been trying to sign in from the app the past three days probably tried about 50 times. I tried reinstalling the app but same thing. Thanks for wasting my time. If you are going to release an app, please make sure it works...",False,HiMyNameIs2,2019-02-07 16:38:25,1,Unable to sign in
