,Unnamed: 0,date,reviewId,userName,reviewCreatedVersion,content,thumbsUpCount,score,repliedAt,developerResponse,content_basic_clean,sentiment,negative confidence score,neutral confidence score,positive confidence score
10,10,2020-03-08 03:02:02,gp:AOqpTOFASIj41Yblzuwnhwo7nNhUVUNo9BkwJfpu6WTo0g2gmvfVk7YLZxvy7nU8VorAD6UinVdS-30knLvtAA,Mehmet Kuday,1.62.2,"Paying works, but pumping doesn't. Still have to pay in the store.",1,1,,,Paying work pumping doesnt Still pay store,negative,0.96,0.03,0.01
11,11,2020-03-17 21:15:41,gp:AOqpTOEakRhGL9f2eL2qHW7Y-Sh_9Qd9xD2gXeuicW-q3fiNmgPgL8k3QZeC-mp4LSoAQbsEagEtPixWaknZyA,Mario,1.62.2,"App says unused amount will be refunded within 24hours. Is not true, have to wait 3 days for my money. First and last time used",6,2,2020-03-28 00:04:08,"Beste Mario, wat vervelend om te horen dat het terugbetalen langer duurde dan beloofd, onze excuses voor het ongemak.",App say unused amount refunded within hour Is true wait day money First last time used,negative,0.79,0.18,0.03
12,12,2020-04-17 07:44:48,gp:AOqpTOEjpV4WTVQl2T0kedZEE9kOWsf4JQGs8nBHs3MnE22IWV-g552_a9luuocFvyVPa6oj_LSslHqsXVAXsg,Ezram van Rijnberk,1.62.7,"In the beginning, the app worked fine. Recently, immediately after going through the entire process of choosing station, pump number, payment method, amount, referral to bank, filling in details there, approving, a notification that is waiting for approval from the bank. The amount has already been written off, however, the bpme app has probably already concluded while working with the banking app that this takes too long and gave an error message. After returning from the banking app, this error message is waiting and will not go away. Have emailed about this and get the answer that it has to do with LPG pump versus 'regular' pump. I wonder if other users recognize this and especially why it can take so long to make a solution for this. Especially in this time of corona, the app can be particularly useful so as not to have to go into the shop. I hope there can be a fix for this soon.",2,2,2020-02-26 20:53:12,"Jazeker, met BPme betaal je gemakkelijk vanuit je auto voor brandstof!",In beginning app worked fine Recently immediately going entire process choosing station pump number payment method amount referral bank filling detail approving notification waiting approval bank The amount already written however bpme app probably already concluded working banking app take long gave error message After returning banking app error message waiting go away Have emailed get answer LPG pump versus regular pump I wonder user recognize especially take long make solution Especially time corona app particularly useful go shop I hope fix soon,mixed,0.52,0.08,0.4
13,13,2020-05-24 23:22:56,gp:AOqpTOEZGD7n6nXsth5nG0pery_cLIqIPMCUrfhwh5Ra3rCqNSNGQ6weNcyC6ukfN-WlrivK54Z5QjonZThCsg,Jorrit,1.62.7,"Not really a time saver, it's easier for me to just pay at the register",5,1,2020-06-23 20:26:50,"Beste Jorrit, dank voor je bericht! Aan het begin van deze maand is er een nieuwe versie van de app live gegaan, veel dingen kunnen nu sneller. Schroom niet het weer eens te proberen.",Not really time saver easier pay register,negative,0.51,0.0,0.49
14,14,2020-06-05 19:26:44,gp:AOqpTOHMLxGqRfAiDD5s3X34-oczYGKdkMcoHT4REjpe9GcQ8N1eP6TDeGq4XEYddCryQNHP9G9CFZpjuk-92w,Zero 2000,4.7.2,It's not support GPS only and battery saving model location service in some devices.,7,3,,,Its support GPS battery saving model location service device,negative,0.99,0.0,0.01
15,15,2020-07-06 20:41:16,gp:AOqpTOH3d4bti-pZeAWsI_bqNH2xoOYMATZToRMVFGaYUlzj9L3gxjaUudWaNihzGhkaZ6zJtXCa8tGN-ySUTA,Sascha Worms,4.10.1,"The idea is super, too bad it doesn't work. I have tried it 3 times over the past few weeks and could wait 2 days for my money every time. Thnx for the reaction I'm going to do",0,1,2020-07-06 18:40:24,"Beste Sascha, zou je ons via consumentenservice@bp.com willen laten weten waar je hebt geprobeerd te tanken?",The idea super bad doesnt work I tried time past week could wait day money every time Thnx reaction Im going,negative,0.9,0.09,0.01
16,16,2020-08-26 22:37:00,gp:AOqpTOHx8-8r5L1mPSedxRfkWHKceypBb3wFk5EvQ6SDiY83y9vCJxABrb7Fz0HgiUmf0mwwg4_9zh2iaq0IGQ,Marcel v,4.13.0,"I already read more in the reviews that the app crashed. With me also on a Samsung S10e, I come to the payment screen and then the app crashed. *edit* I now have a new phone (S10) and the app will also be updated. Tried at the pump yesterday and now the ideal payment is going well. It's not faster unless there's a long line.",0,4,2020-08-07 20:54:44,"Hoi Marcel, bedankt voor je gedetailleerde feedback! Dit helpt ons enorm. We gaan dit nader onderzoeken.",I already read review app crashed With also Samsung Se I come payment screen app crashed edit I new phone S app also updated Tried pump yesterday ideal payment going well Its faster unless there long line,mixed,0.68,0.13,0.19
17,17,2020-09-04 07:03:14,gp:AOqpTOGFaI33_vYVCPu4S_4CzFSC_bt-XWZBqdzCf_xMF9DviFun9QHXJheyE-b4Abdj-mx-aJOU2o1c691OvQ,Bereket T,4.13.0,Just saved. Ran out of gas and no pass with me. Fortunately with this app still be able to refuel.,0,5,2020-09-04 21:06:59,Bedankt voor je recensie. Gelukkig dat BPme je kon helpen!,Just saved Ran gas pas Fortunately app still able refuel,mixed,0.34,0.09,0.57
18,18,2020-09-17 17:26:46,gp:AOqpTOE_cWmtPKTCVW8REVfSogFRlv3zA_rO73vUSDU9wFxsbHCPw-noPgZmZdcRGlG2jg7sCuJAJH8utims6g,Tycho Vleeschhouwer,4.15.1,"For many weeks, the app has not been unable to find a pump station and does not use my location. App is now completely useless",0,1,2020-09-18 19:07:56,"Hoi Tycho, kon je hiervoor wel een pomp station vinden? Wil je ons mailen naar consumentenservice@bp.com? Dan helpen we je graag verder.",For many week app unable find pump station use location App completely useless,negative,0.98,0.02,0.0
19,19,2020-09-17 22:21:07,gp:AOqpTOHHu_thcbeZBnh3qgO1hPjPeCigpw2-QNXuoekqSwLzp8BGzQkyTW6RzaW7nymgun0zdyrLIGPm5Ly3bw,Marcel Hulsman,,Well just easy,0,4,2020-09-18 19:06:14,Bedankt voor je recensie Marcel!,Well easy,positive,0.0,0.01,0.99
20,20,2020-11-26 00:56:09,gp:AOqpTOF2R60ip_F3SsEg0eFGyuFVUMVc3YHp4Jc9gSHo2LatGLhRxCjjFt3nVarmRu3sqzvc6gWDo-CLznMEfw,Steven Quick,4.20.3,"The Dutch payment option 'iDeal' does not work properly in the latest app version 4.20.3. Payment of 50 euro succeeded with bank app, but no proper transaction loop to the BPme app again. So final result: 50 euros is depreciated immediately, but no refuelling possible. Very bad. And why do I also not get an official failure notification mail? I hope that the money will be refunded in two (2) working days... Update 25 Nov: still not refunded after three (3) working days. What's going on BP????",2,1,,,The Dutch payment option iDeal work properly latest app version Payment euro succeeded bank app proper transaction loop BPme app So final result euro depreciated immediately refuelling possible Very bad And I also get official failure notification mail I hope money refunded two working day Update Nov still refunded three working day Whats going BP,mixed,0.7,0.11,0.19
21,21,2020-12-26 19:42:13,gp:AOqpTOH_IOOAie5dbi8n1m5UQnfr15xlUEh2TAoP3DhF6j4sZ26GTz4fBm7MoqBr_LXfEZcVl9T4o5HJxclgjw,P Adu-Yeboah,4.20.3,More yes word be added to the questions.,1,5,,,More yes word added question,neutral,0.01,0.97,0.02
22,22,2021-03-29 22:49:30,gp:AOqpTOFpydxmMv94UO5OcjCeJHMlZA_E4mS-Fvp4bzuBmmiLt-630HZ4PAy9OSPr0fcG350xErk5Qr_LreQ6Tg,Edwin Groen,4.28.1,"Too often, connecting to pump does not work.",0,2,2021-03-30 16:41:16,"Hoi Edwin, bedankt dat je de moeite hebt genomen om ons hierover te berichten. Sinds de laatste versie is dit probleem ontstaan. Wij zijn bekend met het probleem en onze IT afdeling is ermee bezig. We proberen het z.s.m. op te lossen! Mocht je nog ergens anders tegen aan lopen dan mag je altijd de consumentenservice hierover informeren 0800-2727270",Too often connecting pump work,negative,0.99,0.01,0.0
