,userName,isEdited,title,rating,review,date,developerResponse
11,Wilsodg,False,Bad start,1,"Would not accept Amex card, and could not get Nectar card to load.  Add to that the privacy policy where they seem able to do whatever with your data- I’ve decided to do it the old way.",2017-12-29 19:09:30,"{'id': 2532928, 'body': 'Hi Wilsodg, We wanted to give you an update to confirm that AMEX cards are now accepted within BPme. We are sorry to hear about the problems you are having with your Nectar card. If you are able to contact us at bpmeuk@bp.com with a few more details one of our technical team can look into what is happening here. Thanks from the BPme team', 'modified': '2018-02-08T13:06:34Z'}"
12,Estaril,False,Payment Methods,5,Very shocking that BP app cannot add Amex as a payment card or cannot add Apple Pay as a payment method. Been using Shell app with those since nearly 2 years.,2018-01-08 01:57:18,"{'id': 2532918, 'body': 'Hi Estaril, we wanted to provide an update to confirm that we are now able to accept AMEX cards within BPme. The team are busy working on getting Apple Pay set-up so keep an eye out for future releases. Thanks from the BPme team', 'modified': '2018-02-08T13:05:38Z'}"
13,Rm1295,False,The app is well made but,4,"The few issues I’ve found with the app is that not all stations have it, and, if you want to fill your tank completely it’s useless. However, it is nice as the pump will lock itself after however much you’ve put in. Also not having to queue in the store saves so much time.",2018-01-16 12:57:37,
14,Silkster365,False,Great idea - but needs Amex,3,I always pay with Amex in BP but the app doesn’t cater for it. Shame as it’s such a great idea and I would use it otherwise,2018-01-25 06:42:36,"{'id': 2532905, 'body': 'Hi Silkster365, thanks for the review. By way of an update, we are pleased to be able to confirm that AMEX cards are now accepted within BPme. Thanks from the BPme team.', 'modified': '2018-02-08T13:04:26Z'}"
15,TheRiddler4u,False,No Amex!!!,1,"Can't add Amex as a payment method. Why release an app that does not accept all current methods of payment that can be accepted at the till? I work within technology and look after Business As Usual - BAU. I would not have accepted this app into BAU for the following reasons: 1) Scanning card function is slow and takes a few tries to work. 2) App does not accept all payment methods currently accepted at the till. 3) Very scary reviews about money being taken out of account in a different way than paying at the till. There should be no detriment to any customer for using this new app. Folks, it's not rocket science to get this right. You should not have rushed to market until you were ready. Learn to push back and say not yet until you are ready.",2018-01-27 22:10:44,"{'id': 2532889, 'body': 'Hello TheRiddler4u, thanks for your review. By way of an update, we are pleased to be able to confirm that AMEX cards are now accepted within BPme. If you have any issues in adding or using your AMEX card then please get in touch via bpmeuk@bp.com. Thanks from the BPme team', 'modified': '2018-02-08T13:03:18Z'}"
16,Luqa1960,False,Watch out for cops!,5,"Used this for the first time today and got apprehended by the boys in blue who saw me fill up me beemer then race off without paying!!
Had a right old time explaining to them 'I paid by App' 'yeah right - pull the other' he said and frog marched me to the til only for the nice lady to explain it to him!
 Great App, works perfectly- just watch out for the cops!",2018-01-31 13:24:50,"{'id': 2478407, 'body': 'Hi Luqa1960, thanks for the review. Glad to hear that the app worked perfectly for you. Sorry to hear however that you attracted some unwanted attention from the police! We are really happy to hear that the store staff were able to straighten everything out though. Thanks from the BPme team', 'modified': '2018-02-02T12:03:55Z'}"
17,MarkieD99,False,Won't accept CC,1,Can't get it set up as it doesn't accept my Amex. Waste of time.,2018-02-01 20:05:43,"{'id': 2532876, 'body': 'Hello MarkieD99, thanks for your review. We are really pleased to be able to confirm that AMEX cards are now accepted within BPme. Thanks from the BPme team', 'modified': '2018-02-08T13:01:33Z'}"
18,Wbrown1207,False,Stops 50p short,3,"The app is brilliant and saves time but when you set a fixed amount the pump stops short by exactly 50p, it has done it both times I’ve used it.",2018-02-02 18:56:39,
19,GuyFromRutland,False,No Allstar???,1,Doesn't take the leading fuel card sadly. No use to me then. What a shame.,2018-02-03 08:08:04,
20,deachy,False,Hs a lot of potential,3,Love this idea. The only fault I have at this stage is that this facility has not been rolled out to all stations. When it does it will get 5 stars.,2018-02-03 15:11:29,"{'id': 2532868, 'body': 'Hello Deachy, thanks for your review. Just to let you know we are rolling out more stations every day. If you use the ""BPme enabled"" filter in the Station Finder you will be able to see the must up-to-date list of sites that accept BPme. Thanks from the BPme team', 'modified': '2018-02-08T13:00:44Z'}"
21,Chengers,False,No AMEX,1,No use until Amex is accepted!,2018-02-04 11:08:48,"{'id': 2532848, 'body': 'Hello Chengers, we are really pleased to be able to confirm that AMEX cards are now supported within BPme. If you experience any issues in adding or using your AMEX card then please get in touch via bpmeuk@bp.com and we will be happy to assist. Thanks from the BPme team.', 'modified': '2018-02-08T12:58:42Z'}"
22,Ross McManus,False,Watch your bank account,1,"Filled up at my local BP garage using this app for the first time. Put £44 into my car and finished all fine, Checked my internet banking and there was a £100 pending charge on my account from BP! Two days later BP have took the £44 out of my account that I filled up but I still have a £100 pending transaction from them, I’ve had to contact the bank to get them to look into it!!",2018-02-06 20:40:27,
23,mominnz,False,Best app Better than Shell. Neat App,5,"Being a tech savvy person I can guarantee that at the moment in the UK this is the best app and payment method with minimum complexity . I’ve got Shell app and it’s super complicated. Only thing I found was the price of fuel is slighter higher and also if I were to fill from Shell I normally fill at 40 where as BP was at 48 but that been said it’s not an accurate measure.
Overall 5 star to BP. Good work. Near App",2018-02-08 07:05:23,
24,CptpugwashIII,False,Make sure you can lose money for a couple of weeks,1,"Good idea and works really well, just don’t choose the full tank option. BP will allocate £100 from your account for up to two weeks. Had a direct debit cancelled as my money was tied up.",2018-02-09 13:54:28,
25,SidBoggle,False,Rubbish,1,Pathetic app. Always asks me to login then just sits there. Eventually I just decided to pay in the shop. Tried on two BP visits. Deleted. BP petrol prices are a rip off anyway.,2018-02-11 08:57:49,"{'id': 2570026, 'body': 'Hello SidBoggle, we are sorry to hear that you are having trouble getting access to your BPme app. If you are able to get in touch via bpmeuk@bp.com to confirm the email address you have used to register for the service our support team can reset your account which will resolve this issue. Thanks from the BPme team.', 'modified': '2018-02-13T09:00:40Z'}"
26,buzzybee435,True,AMEX,5,"Update: American Express now works fine

Can’t use AMEX but yet can use it in store",2018-02-11 22:43:31,"{'id': 2543426, 'body': 'Hello buzzybee435, thanks for your review. We are pleased to confirm that AMEX cards are now accepted via BPme. If you have any issues loading your card to your wallet or using AMEX within BPme then please get in touch at bpmeuk@bp.com and our support team will be happy to help. Thanks from the BPme team', 'modified': '2018-02-09T14:12:17Z'}"
27,Alecsarus,False,Can’t add any card,1,Doesn’t recognise any of my cards. Useless.,2018-02-13 18:44:25,"{'id': 2822157, 'body': 'Hello Alecsarus. By way of an updated, we have made some changes to our app to allow users to add more types of payment card (including business cards). Hopefully this will have fixed the issue you have seen. Thanks from the BPme team', 'modified': '2018-03-14T09:27:45Z'}"
28,Matty903,False,Lacks Apple Pay,4,"Amazing app, one of the best integrations I’ve seen, will be 5 stars the second Apple Pay is supported",2018-02-15 17:32:47,"{'id': 2614825, 'body': 'Hi Matty903, thanks for the review. Our development team are busy working on getting Apple Pay up and running right now. Keep an eye out for up-coming app releases for this functionality. Thanks from the BPme team', 'modified': '2018-02-19T08:43:46Z'}"
29,w.parkinson,False,Face ID support would be nice,3,Have to log on and enter security question every time on iPhone X,2018-02-16 20:54:03,"{'id': 2614846, 'body': 'Hi there w.parkinson. Thanks for your review. We have passed this on to our development team who are working on enabling FaceID at the moment. Just as a suggestion, if you enable TouchID when prompted in the app this allows FaceID to work OK which will avoid you having to enter the PIN etc. every time. Thanks from the BPme team', 'modified': '2018-02-19T08:45:27Z'}"
30,Stf-0032,False,"Tracks you, sells your info to third parties",1,"Instead of asking you to pay for the service, they track you and sell your info to pay for it.

Same as tesco clubcards, nectar rewards and every other data mining scheme.",2018-02-16 22:17:22,
31,GatorsBitches,False,No worky,1,"Have registered with BP Me, verified my email address and password, but when I try to access the app with my user credentials, it keeps throwing me back to the login/register screen.",2018-02-19 09:35:08,"{'id': 2659298, 'body': 'Hello GatorsBitches, we are really sorry you are experiencing problems with accessing BPme. If you are able to get in touch via bpmuk@bp.com confirming the email address you have used to register for BPme then our support team will be able to reset your account which will resolve this issue for you. Thanks from the BPme team', 'modified': '2018-02-23T09:29:23Z'}"
32,Thompsp22,False,Good App - BP Plus Routex Card Required,5,"Good app, will be using regularly. The BP Plus Routex card type needs to be added as a payment option though - I’d have thought this would’ve been a day one option? Hopefully this’ll be added soon!

Good app otherwise!",2018-02-19 12:55:09,"{'id': 2658928, 'body': 'Hi Thompsp22, thanks for your review. Glad to hear you like the app. The technical team are busy working on getting BP+ Routex cards added to the BPme app so keep an eye out for future app releases.', 'modified': '2018-02-23T08:52:17Z'}"
33,Rjborley,False,This app rips you off for fuel,1,"I was filling my car yesterday and the meter continued to register fuel and an increasing charge even after fuel stopped flowing. I was certain the fuel had stopped flowing so I carefully removed the nozzle to confirm. Sure enough, no fuel flowing and the meter was still counting!",2018-02-19 13:23:57,"{'id': 2658914, 'body': 'Hello Rjborley, thanks for your review and we are sorry to hear you have experienced problems with using BPme. Please can you get in touch via bpmeuk@bp.com with a few details (which site you visited and which pump you were using) and our maintenance team will look into this for you. From your description this issue is more likely to be related to an issue with a pump nozzle that we would like to resolve as soon as possible rather than a problem with the BPme app. Thanks from the BPme team', 'modified': '2018-02-23T08:50:49Z'}"
34,loz2966,False,Won't accept MasterCard!!,1,"Think the developer needs to sort out payment methods, tried adding my company MasterCard and it just said error check number, tried manual entry and photo no joy.",2018-02-23 15:43:12,"{'id': 2822145, 'body': 'Hi there loz2966, we are sorry to hear you have been experiencing some issues with BPme. I am pleased to say that we have made some changes to our app to allow users to add more types of payment card (including business cards). Hopefully this will have fixed the issue you have seen. Thanks from the BPme team', 'modified': '2018-03-14T09:26:27Z'}"
35,T-MARG,False,Doesn’t work for me.,1,"Downloaded, set up account, wouldn’t add payment card(s) and then immediately suspended my new account. Shame, it would have been really useful.",2018-02-23 23:22:10,"{'id': 2822132, 'body': 'Hi there T-MARG, we are sorry to hear you have been experiencing some issues with BPme. I am pleased to say that we have made some changes to our app to allow users to add more types of payment card (including business cards). Hopefully this will have fixed the issue you have seen. If you can drop a mail to bpmeuk@bp.com with confirmation of the email address used to register for BPme we can look to get your account unlocked. Thanks from the BPme team', 'modified': '2018-03-14T09:25:36Z'}"
36,Fred4224334,False,Can’t locate petrol stations,3,Seems like it could be a good app if it could locate any petrol stations. Always says I’m not near one even though I live just round the corner from one.,2018-02-24 12:49:13,"{'id': 2811745, 'body': 'Hi there Fred4224334, thanks for your review. In order to use the ""Pay for Fuel"" service you will need to be on the petrol forecourt. If you need to find your nearest station (obviously not neccesary for the one round the corner from your house) then tap on the ""Station Finder"" icon and use the simple filters to find the right station for your needs. Thanks from the BPme team', 'modified': '2018-03-13T08:13:49Z'}"
37,zanzibari,False,Useless gimmick,1,"Absolutely hopeless. “Freezes” £100 from your bank account when you select “full tank” regardless of how much you spend.
Select any other amount and the pump delivers 50p less! 
I fill up my vehicle every night, and can’t afford to have £100 “frozen” from my bank account. In theory, after 1 week I could have £700 “pending transactions” in my bank account despite only spending £150-£200.
Also, to print-off the receipt involves printing 2 A4 pages. Waste of paper & ink, so much for your care for the environment.",2018-02-25 09:59:27,
38,Ermii,False,"So easy, I will only buy from BP now",5,"I was recommended this app by a friend and I was a bit doubtful as I thought it would be similar to a pay at pump experience. However, it was much easier than that. No need to get your card out, enter your pin code, wait in the cold for the card to be authorised, etc. Just enter the pump number from the comfort of the car, get out to fill up (yes the app doesn’t do that unfortunately) and that’s it.",2018-02-27 15:00:11,
39,Daniel_r_smith,False,Waste of time and storage.,1,I had the app for a day or two. My account got suspended over a week ago and nobody seems to no why and is able to resolve it.,2018-02-28 10:41:40,"{'id': 2811762, 'body': 'Hi there Daniel_r_smith, thanks for your review and sorry to hear you have had some trouble getting access to your BPme account. We have looked into this matter and have now re-activated your account. Sorry for the delay in getting back to you. Thanks from the BPme team', 'modified': '2018-03-13T08:16:09Z'}"
40,Kiddan UK,False,"Good idea but doesn’t work, failed on first attempt.",1,"Failed on my first attempt to use it. Got the app setup, went to the petrol station and picked pump and amounts and pressed the option to continue. The app got stuck on “unlocking pump”, waited for over a minute and nothing happened. I interrupted the process by closing the app. I filled up with Diesel and went in to pay as normal. I’m glad I mentioned to the staff about the failure to use the app as my card was charged with the amount and they did something to refund me. So no easy way to fill up using an app... not a good experience and have no confidence in this app/system. 
Bye bye “BP Me” short life.",2018-02-28 20:02:56,
41,Madvis,False,Can’t add debit card,1,Downloaded this app and registered but can’t register my card. Now I am getting a massage that my account is suspended,2018-03-04 10:43:01,
42,Andrewjward,False,Charged for someone else’s fuel!,1,"Be very wary of this app. I was charged for someone else’s fuel as well as my own. Luckily I looked at her transactions before I left the station and queried this. Not sure what would have happened if I had not! 

The support for this app were less than helpful, didn’t respond in the 5 days they said they would and had to chase only to be told they hadn’t looked at why it happened. Very poor! Be wary and if you do use make sure you check the transactions history.",2018-03-05 14:19:39,"{'id': 2811841, 'body': 'Hello Andrewjward, thanks for your review. We are really sorry to hear about your recent BPme experience. If you can send a quick email to bpmeuk@bp.com with some more details our support team will be able to look into this in more detail. Thanks from the BPme team', 'modified': '2018-03-13T08:27:12Z'}"
43,Bowerchalke82,False,Why car you register your car?,5,"Surely you should be able to register your car, then the cameras can pick up the number plat at a pump. The phone would be there too, so the app should just pop up and say “do you want to use BP me at pump 3?”",2018-03-08 10:03:43,"{'id': 2811791, 'body': 'Hi Bowerchalke82, thanks for your review. That is a great suggestion! We have passed this on to our innovation team who are constantly looking at ways to make your BPme experience even easier! Thanks from the BPme team', 'modified': '2018-03-13T08:19:27Z'}"
44,NAF1,False,Logs you out,1,Very annoyingly this app. logs you out after 30 days if you haven’t used it . So you end up sitting at the pump trying to remember your password. If you use a strong passwords that isn’t always easy. This is despite having faceID enabled. Complete nuisance- not even my bank/financial apps do this. Complete overkill. It’s supposed to make paying more convenient not less.,2018-03-08 16:28:21,"{'id': 2811830, 'body': 'Hi there NAF1, thanks for your review and sorry to hear your experience of using BPme was not as you expected. We use time-outs as one of the tools to protect your identity details. We will pass your comments on to the security team who are constantly fine-tuning the limits and thresholds to get the right balance between security and great customer experience. Thanks from the BPme team', 'modified': '2018-03-13T08:25:51Z'}"
45,adambsmith,False,£100 card authorisation each time,2,"As has been noted by previous reviews, each time I fill up a £100 pre-authorisation is taken from my card. My car takes 50-60 litres and the final cost is unlikely to be anywhere near £100. 

It’s even worse on my daughter’s car which takes 30 litres and which I fill up for her occasionally. 

Otherwise the app is great but tempted to bin it given the above.",2018-03-09 13:49:53,"{'id': 2811854, 'body': 'Hi there adambsmith. Thanks for your review. BPme operates in a similar way to other pay@pump services by pre-authorising the payment prior to unlocking the pump. Any funds pre-authorised are released when the final payment is processed. If you need less than £100 why not use the handy ""Select your fuel amount"" feature in the app to select a more appropriate amount. Thanks from the BPme team', 'modified': '2018-03-13T08:28:01Z'}"
46,The 50p drama !,False,Why stop fuelling 50p short than I want to pump,3,"I have used this app a few times and find it very useful, especially in the cold whether I can just fill up and go. 

Only down fall is it always fuels 50p less than I requested. For example if I want to put £20 in my tank I should be allowed to fuel £20 nothing more or less but it only lets me pump £19.50 why? That 50p makes a huge difference !!!",2018-03-11 20:06:37,"{'id': 2811881, 'body': 'Hi there, thanks for your review. Currently we are stopping some of our pumps up to £0.50 short to avoid them dispensing more fuel than you have requested. We are working to remove this limit from as many pumps as possible over the coming months. Thanks from the BPme team', 'modified': '2018-03-13T08:31:16Z'}"
47,Rickyclean,False,Terrible,1,After verifying the account it can’t log you in and keeps loading the login page. Utterly pointless.,2018-03-13 09:36:34,"{'id': 2822196, 'body': 'Hi Rickyclean, thanks for your review. We are sorry to hear you are having problems getting logged in to BPme. If you are able to send a short note to bpmeuk@bp.com with the details of the email address you used to register for BPme our support team will be able to reset your account which will resolve this issue. Thanks from the BPme team', 'modified': '2018-03-14T09:30:17Z'}"
48,Husqy fan uk,True,Doesn’t accept a BP card!,2,"Enough said in the title.
Will check back later in year for an update following the comment from the developers. thanks!",2018-03-13 20:55:50,"{'id': 2811771, 'body': 'Hi there Husqy fan uk, thank for your review. We are pleased to say that the BP+ fuelcard will be available within BPme later on this summer. Please check with your fleet manager for more details. Thanks from the BPme team', 'modified': '2018-03-13T08:17:56Z'}"
49,JossBrazier,False,Apple Pay support,1,"She’ll can do it, so can you. 

Get a grip",2018-03-14 00:30:19,
50,HBC Ltd,False,Didn’t work,1,Didn’t work with fuel card :(,2018-03-14 19:04:07,"{'id': 2933544, 'body': 'Hi there HBC. Thanks for your review. We are pleased to say that we will be supporting BP Plus fuel cards within BPme later on this summer. Please contact your fleet manager for more info if you are interested in being able to use this feature. Thanks from the BPme team', 'modified': '2018-03-26T11:32:28Z'}"
51,John Leigh,False,Poor,1,Really poor on iPhone 6+. The splash screen stays on for far too long telling me it’s BP - I know it’s BP - and it constantly asks for a password. Too slow to be of any real use. The Shell app is far better and it will be the Shell fuel I will use.,2018-03-15 07:54:25,"{'id': 2933528, 'body': ""Hi John Leigh, thanks for your feedback. We are sorry to hear that the performance of BPme isn't meeting your expectations on your iPhone 6+. We have passed this on to our developer team who are constantly looking at options to speed up the app. Please make sure you download our regular updates to take advantage of these developments. Thanks from the BPme team"", 'modified': '2018-03-26T11:31:06Z'}"
52,PeteFearn,False,Takes SO long to get the hold on your card back,2,"I used this almost a month ago. I wanted to fill up so the app took a £100 hold, then the next day charged me £41 for my fuel. Almost a month later and I’ve still not got my £100 back. The app says it can take up to 10 days... not the case...",2018-03-15 11:39:42,
53,Gary1588343800332,True,Con,1,"Used this app for the first time today. Requested £30 of petrol and the pump cut out off at £29.10!! Nothing mentioned about a 90p tax just got using the app! Convenient yes, honest no! Your fuel is expensive enough without BP dipping their oily hand in my pocket while I’m not looking 😡

***edit*** because I can’t reply to your comment “rest assured you will always only be charged for the amount of fuel you receive”...... let me make this abundantly clear. £30 was deducted from my bank account and the pump stopped at £29.10!!! So.... you lie",2018-03-17 18:37:56,"{'id': 2811820, 'body': 'Hi there Gary158834800332. Thanks for your review. BPme operates in a similar way to other pay@pump services by pre-authorising the payment prior to unlocking the pump. In the case of your transaction, the £30 that was pre-authorised will have been  released when the final payment was processed. In some of our sites we have to stop the pumps a little bit before the requested amount to avoid them dispensing too much fuel. Please rest assured, you will always only be charged for the final amount of fuel you dispense.', 'modified': '2018-03-13T08:23:01Z'}"
54,Dan-81,False,"Great Idea, but useless in practice",2,"Saw this app advertised at my local BP and thought it was a great idea.

After going through the rigmarole of setting up an account, verifying my email, adding a payment card, adding my nectar card I was all set.

Turns out the app doesn’t remember you or use touch/faceid. I was sat in my car looking at the log in screen. 

As I value my security I take advantage of my phone’s ability to create long unbreakable passwords, and they are all different from each other. A consequence of this is I don’t, from memory, know all my passwords.

The app hasn’t been written to integrate into apples keychain (some do) so I would have had to exit the app, go into settings copy the password and go back into the app to log in. Every single time!

Ridiculous oversight- who does your UX sign off!?",2018-03-18 08:19:46,"{'id': 2933391, 'body': 'Hi there Dan-81, sorry to hear you are having problems getting TouchID and FaceID working on BPme. If for some reason the app doesn\'t prompt you to enable these features during the registration then you can always enable them via the settings menu which can be found in the ""Account"" section of the BPme app. Thanks from the BPme team', 'modified': '2018-03-26T11:20:10Z'}"
55,Super Mitch,False,No Fuel Cards???,1,When will fuel cards be available as a payment method???,2018-03-18 18:56:32,"{'id': 2933508, 'body': 'Hello Super Mitch, thanks for your review. We are working on adding the BP Plus fuel card to BPme later on this summer. Please contact your fleet manager if you are interested in being able to use your BP fuel card within BPme. Thanks from the BPme team', 'modified': '2018-03-26T11:29:33Z'}"
56,Blind Data,False,No WiFi or Data? No BPme!!,1,"One Star BP. I was excited by this app and all it promised until I discovered it does not work without WiFi or a data contract. This app needs to function over GPS or BP needs to install free WiFi at their filling stations. Yes, some people have work phones where data is not included. Why can we not use your app?",2018-03-20 10:14:40,"{'id': 2933496, 'body': ""Hello Blind Data, thanks for your review. Unfortunately it is the case that BPme, like a lot of other apps of this kind, does need to transfer data from the phone to our secure cloud payment service in order to be able to make a BPme payment. The amount of data that is sent to the cloud is kept very small so as to avoid eating into customers data plans but without a data plan in place it isn't possible for BPme to function. Thanks from the BPme team"", 'modified': '2018-03-26T11:28:27Z'}"
57,P33ter,False,Unable to login,1,"Unable to login and I see the payments don’t include Allstar fuel cards. 
Would be better to develop a fully functional app before release.",2018-03-22 08:48:00,
58,Sparkie87,False,No Amex,1,"I have read a previous review, which you answered saying you now take Amex. This doesn’t seem to be the case. App sounds like a great idea but I won’t use it until my Amex works unfortunately. Let me know when you get that fixed.",2018-03-24 11:02:27,"{'id': 2933419, 'body': 'Hello Sparkie87. We are sorry to hear that you are having issues adding your AMEX card to BPme. If you can send a mail to bpmeuk@bp.com with confirmation of the email address you use to access BPme then we can look into why your AMEX card is being rejected when you are trying to add it to your BPme wallet. Thanks from the BPme team', 'modified': '2018-03-26T11:21:50Z'}"
59,Triton1000,True,Doesn’t work. Feedback submission doesn’t work either. How embarrassing,1,"Doesn’t work. Said there was a problem with my card. Called my bank. Card was fine and my details were correct. Unable to leave feedback on the app. So so bad. What an embarrassment. Developers and drawing boards spring to mind. Deleted app.

RESPONSE TO DEVELOPER REPLY:
The card was added fine. There was no problem there. It was when I then tried to use the app that it kept saying there was an issue with the card even though it had been successfully added and verified. I don’t have time to email to find out why your app isn’t working, and get involved in all this rigmarole. I will use a different petrol station.",2018-03-27 09:48:44,"{'id': 2933451, 'body': 'Hello Triton1000, we are sorry to hear you are having trouble adding your card to BPme. If you can contact us on bpmeuk@bp.com with confirmation of the email address you used to register we can look into what is causing the issue here. We are also aware of an issue that stopped users from leaving in-app feedback for a few days recently. I am pleased to say this is now resolved. Thanks from the BPme team', 'modified': '2018-03-26T11:24:20Z'}"
60,Jezmanc,False,Disappointed bp user,2,"Worked great twice , then keeps saying password is wrong , reset password twice still says wrong password, good app if it worked, now deleted , 2 stars one for each time it worked",2018-03-30 08:54:58,
61,PraBPme,False,Unusable,1,"downloaded & registered the app last week and linked my master card without any problem. But when I tried to buy the fuel through app in the nearby BP petrol station, it declined the transaction stating that my bank has declined it. When I called my bank they repeatedly confirmed that the transaction request never reached them.",2018-04-01 08:09:52,
62,smart33,False,Avoid unless your bank account has over £100,1,"At first was excited for its convenience, pump stops automatically when it reaches amount assigned. 
I selected £25.00 on app and fuel pumped stopped at £24.50 so my account was only charged £24.50.
BUT couple days later I noticed on my online banking that there’s a pending amount £25.00, why ? This streamline process isn’t right considering payments were taken immediately from my bank account. For some who pump fuel over £100 weekly that’s a large amount pending overall. Will NOT continue to use app unless they remove streamline process. 
BPme FAQs 👇🏻. 
Why is there a pending amount for BP in my bank statement? 
To streamline the process of paying for fuel, BPme completes a check with your bank to confirm that you have the available funds before authorising the pump. The amount you choose to fill up by (or £100 if you choose to fill your tank) will be reserved from your balance. But don't worry, you will only be charged for the total amount of fuel dispensed.           
The pre-authorised funds will be released by your bank within a few days when the final amount is processed although in certain circumstances this can take up to 10 days.",2018-04-02 11:14:07,
63,kljhlk,False,Amex,1,"Can’t add Amex. Won’t use the app unless it will. (Website says it does). 

Can’t even submit feedback through the app. 

“There was a problem submitting feedback/adding your card”. 

Waste of time.",2018-04-03 14:13:25,"{'id': 3075450, 'body': 'Hello kljhlk, thanks for your review. We are sorry to hear you are having problems adding your AMEX card to BPme. If you can get int touch with us on bpmeuk@bp.com our support team will look into what is causing this issue. Thanks from the BPme team', 'modified': '2018-04-09T12:28:12Z'}"
64,Techo10,False,Password setting problem,1,"Cannot get past setting my password for a new account. Keeps saying,”Cannot contain or equal username”, password is nothing like the username so gave up and deleted app.",2018-04-03 17:47:13,
65,leadie 100,False,Can’t register,1,Can’t register tried 8 times!!!,2018-04-03 17:57:19,
66,Hindmost,False,Amex again,1,Attempted to add an Amex card. Got charged £1 x3 whilst unsuccessfully trying to add it. Don’t think I will be using this app any time soon,2018-04-03 18:51:40,"{'id': 3075480, 'body': 'Hello Hindmost, we are sorry you are having trouble adding your AMEX card to BPme. Please note that the £1 charge is simply to check that the card is valid and will be released back to your account by AMEX in a short while. Thanks from the BPme team', 'modified': '2018-04-09T12:30:05Z'}"
67,Gordo2908,False,Nectar Card,5,"Used card for first time today. Easy to use, only problem is that I can’t input my nectar card details as app keeps saying that there is a technical problem. Can you help?",2018-04-03 18:55:00,"{'id': 3075503, 'body': 'Hello Gordo2908. Thanks for your review. Really great to hear that you have found BPme nice and easy to use. If you can get in touch with our support team on bpmeuk@bp.com the team will look into what is causing the issues with your Nectar card. Thanks from the BPme team', 'modified': '2018-04-09T12:31:39Z'}"
68,Supremoooooooooi,False,Stuck in logging you in,1,"Despite typing the right credentials the app gets stuck in “Logging you in” and after a while send me back to the main login page without an error message. If the credentials are wrong, it does let me know and can’t move forward. But if they’re right it just sends you back to the main screen",2018-04-04 08:53:36,"{'id': 3075518, 'body': 'Hello Supremooooooooi, thanks for your review. Sorry to hear you are having trouble logging in to BPme. If you can get in touch with our support team on BPmeuk@bp.com they can reset your account which should resolve this issue. Thanks from the BPme team', 'modified': '2018-04-09T12:32:46Z'}"
69,choochoothomas510,False,Cannot set up with Amex,2,The app seems like a good idea but as per other reviews I cannot add my Amex card. As such the app is useless to me. Would appreciate this being looked into.,2018-04-04 15:43:54,"{'id': 3075550, 'body': 'Hello choochoothomas510, thank for your review. We are sorry to hear you are having trouble adding your AMEX to BPme. We are experiencing an isolated issue with AMEX cards and are investigating with the team from AMEX. If you can get in touch with our support team at BPmeuk@bp.com the team can check to see if your card is facing the same issue. Thanks from the BPme team', 'modified': '2018-04-09T12:34:52Z'}"
70,Prwgfs,False,Someone who won’t by BP again !!,1,Seriously who wrote this app !,2018-04-04 20:05:25,
